title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
党员、党权与党争 : 1924—1949年中国国民党的组织形态,王奇生, 华文出版社,, 2010-12,448, 48.00元,,,9.79E+12,9.2,2544,https://book.douban.com/subject/5372471/
联合政府与一党训政 : 1944～1946年间国共政争,邓野, 社会科学文献出版社,, 2011-11,519, 58.00元,汉唐阳光人文图书,https://book.douban.com/series/17556,9.79E+12,9.3,1262,https://book.douban.com/subject/6895949/
革命与反革命 : 社会文化视野下的民国政治,王奇生, 社会科学文献出版社,, 2010-01,457, 49.00元,近世中国,https://book.douban.com/series/2997,9.79E+12,8.6,1157,https://book.douban.com/subject/4248275/
“中间地带”的革命 : 国际大背景下看中共成功之道,杨奎松, 山西人民出版社,, 2010-05,554,54,汉唐阳光人文图书,https://book.douban.com/series/17556,9.79E+12,8.8,1930,https://book.douban.com/subject/4827310/
国民党高层的派系政治 : 蒋介石“最高领袖”地位的确立（修订本）,金以林, 社会科学文献出版社,, 2016-7,580, 79.00元,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,8.1,999,https://book.douban.com/subject/26830337/
毛泽东、斯大林与朝鲜战争 ,沈志华, 广东人民出版社,, 2013-2,430, 58.00元,,,9.79E+12,8.8,2260,https://book.douban.com/subject/1009529/
毛泽东与莫斯科的恩恩怨怨 ,杨奎松, 江西人民出版社,, 2005-05-01,665,72,,,9.79E+12,8.8,1085,https://book.douban.com/subject/1280568/
国民党的“联共”与“反共” : 中国国民党史,杨奎松, 社会科学文献出版社,, 2008-1,752, 88.00元,,,9.79E+12,8.9,1217,https://book.douban.com/subject/2713409/
东晋门阀政治 ,田余庆, 北京大学出版社,, 2012-5,348, 49.00元,博雅英华,https://book.douban.com/series/18636,9.79E+12,9.5,5674,https://book.douban.com/subject/10758290/
筚路维艰 : 中国社会主义路径的五次选择,萧冬连, 社会科学文献出版社,, 2014-10-1,246, CNY 45.00,,,9.79E+12,9.5,1453,https://book.douban.com/subject/26171466/
天朝的崩溃（修订版） : 鸦片战争再研究,茅海建, 生活·读书·新知三联书店,, 2014-10,592, 59.00元,三联·哈佛燕京学术丛书,https://book.douban.com/series/586,9.79E+12,9.4,4917,https://book.douban.com/subject/25935941/
权势转移 : 近代中国的思想与社会（修订版）,罗志田, 北京师范大学出版社,, 2014-1-1,330, 48.00元,中华学人丛书,https://book.douban.com/series/21546,9.79E+12,8.8,586,https://book.douban.com/subject/25789370/
地方督抚与清末新政（增订版） : 晚清权力格局再研究,李细珠, 社会科学文献出版社,, 2018-5,668, 248.00元,社科文献学术文库·文史哲研究系列,https://book.douban.com/series/45447,9.79E+12,8.2,58,https://book.douban.com/subject/30288955/
乱世潜流 : 民族主义与民国政治,罗志田, 上海古籍出版社,, 2001-10,368, 16.00元,晚清民国学术书系,https://book.douban.com/series/2045,9.79E+12,8.3,273,https://book.douban.com/subject/1286969/
被“废除不平等条约”遮蔽的北洋修约史（1912-1928） ,唐启华, 社会科学文献出版社,, 2010-9-1,569, 69.00元,近世中国,https://book.douban.com/series/2997,9.79E+12,8.6,259,https://book.douban.com/subject/5288681/
西安事变新探 : 张学良与中共关系之谜,杨奎松, 山西人民出版社,, 2012-3-1,446, 48.00元,汉唐阳光人文图书,https://book.douban.com/series/17556,9.79E+12,8.8,446,https://book.douban.com/subject/10506693/
失去的机会？ : 抗战前后国共谈判实录,杨奎松, 新星出版社,, 2010-6,363, 30.00元,,,9.79E+12,8.3,346,https://book.douban.com/subject/4843865/
最后的大队 : 蒋介石与日本军人,[日]野岛刚, 社会科学文献出版社•甲骨文,芦荻, 2016-9-30,413, 58.00元,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,7.1,322,https://book.douban.com/subject/26869147/
抉择与分歧 : 英美对共产党在中国胜利的反应,埃德温•马丁（Edwin W. Martin）, 社会科学文献出版社,"姜中才 于占杰 译,姜中才 校", 2016-4,365,56,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,7.8,329,https://book.douban.com/subject/26782515/
失败的帝国 : 从斯大林到戈尔巴乔夫,[美] 弗拉迪斯拉夫·祖博克, 社会科学文献出版社,李晓江, 2014-6-15,656,88,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,8.5,1062,https://book.douban.com/subject/25869117/
哈布斯堡的灭亡 : 第一次世界大战的爆发和奥匈帝国的解体,[美] 杰弗里·瓦夫罗, 社会科学文献出版社,黄中宪, 2016-7,485,69,甲骨文丛书,https://book.douban.com/series/23971,9.79E+12,7.5,640,https://book.douban.com/subject/26751893/
