title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
国史大纲（上下册） ,钱穆, 商务印书馆,, 2010-12-1, 946, 92.00元,中华现代学术名著丛书,https://book.douban.com/series/6985, 9787100074667,9.3,1325,https://book.douban.com/subject/6004630/
东晋门阀政治 ,田余庆, 北京大学出版社,, 2012-5, 348, 49.00元,博雅英华,https://book.douban.com/series/18636, 9787301204351,9.5,5675,https://book.douban.com/subject/10758290/
中国历代政治得失 ,钱穆, 生活·读书·新知三联书店,, 2001, 178, 12.00元,钱穆作品系列（三联2001版）,https://book.douban.com/series/914, 9787108015280,9.2,49788,https://book.douban.com/subject/1003479/
资治通鉴 ,司马光, 中华书局,, 2011-8, 9942, 498.00元,,, 9787101081121,9.8,1262,https://book.douban.com/subject/6790302/
隋唐制度渊源略论稿 唐代政治史述论稿 ,陈寅恪, 商务印书馆,, 2011-12, 355, 35.00,中华现代学术名著丛书,https://book.douban.com/series/6985, 9787100087643,9.4,652,https://book.douban.com/subject/10532828/
中国通史 ,吕思勉, 上海古籍出版社,, 2009-4-1, 466, 35.00元,吕思勉文集,https://book.douban.com/series/864, 9787532552795,8.9,3177,https://book.douban.com/subject/3707886/
陈寅恪魏晋南北朝史讲演录 ,万绳楠, 贵州人民出版社,, 2007-4, 312, 29.80元,,, 9787221073693,9.0,4499,https://book.douban.com/subject/2032141/
天朝的崩溃 : 鸦片战争再研究,茅海建, 生活·读书·新知三联书店,, 2005-7, 600, 32.00元,,, 9787108022943,9.1,11967,https://book.douban.com/subject/1675478/
晚学盲言（上下册） ,钱穆, 九州出版社,, 2011-7, 1496, 208.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510809958,8.7,29,https://book.douban.com/subject/10345062/
国学概论 ,钱穆, 九州出版社,, 2011-1, 362, 48.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807077,9.0,165,https://book.douban.com/subject/6097219/
秦汉魏晋史探微 : 重订本,田余庆, 中华书局,, 2011-6, 419, 38.00元,,, 9787101079067,9.4,1752,https://book.douban.com/subject/6311230/
波峰与波谷 : 秦汉魏晋南北朝的政治文明（第二版）,阎步克, 北京大学出版社,, 2017-4, 244, 45.00元,博雅撷英,https://book.douban.com/series/25554, 9787301281482,8.8,1081,https://book.douban.com/subject/26992823/
士大夫政治演生史稿 ,阎步克, 北京大学出版社,, 2015-1-1, 459, CNY 75.00,博雅英华,https://book.douban.com/series/18636, 9787301251881,9.0,673,https://book.douban.com/subject/26295138/
魏晋南北朝史论丛 ,唐长孺, 中华书局,, 2011-4, 437, 42.00元,唐長孺文集,https://book.douban.com/series/5420, 9787101068306,9.5,389,https://book.douban.com/subject/5392430/
拓跋史探 ,田余庆, 生活·读书·新知三联书店,, 2019-1, 300, 69.00元,当代学术,https://book.douban.com/series/38522, 9787108063960,9.5,376,https://book.douban.com/subject/30302919/
南明史 ,顾诚, 光明日报出版社,, 2011-8-26, 848, 88.00元,顾诚著作系列,https://book.douban.com/series/9005, 9787511213273,9.3,3408,https://book.douban.com/subject/6533042/
天朝的崩溃（修订版） : 鸦片战争再研究,茅海建, 生活·读书·新知三联书店,, 2014-10, 592, 59.00元,三联·哈佛燕京学术丛书,https://book.douban.com/series/586, 9787108050656,9.4,4920,https://book.douban.com/subject/25935941/
两汉魏晋南北朝宰相制度研究 ,祝总斌, 北京大学出版社,, 2017-4, 328, 64.00,博雅英华,https://book.douban.com/series/18636, 9787301279601,9.2,417,https://book.douban.com/subject/27025893/
万历十五年 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 1997-5, 320, 18.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108009821,8.9,158935,https://book.douban.com/subject/1041482/
國史大綱（上下） ,钱穆, 商務印書館,, 2013-8, 914, 76.00元,钱穆学术著作,https://book.douban.com/series/8726, 9787100017664,9.3,13096,https://book.douban.com/subject/1046492/
中国大历史 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 2007-2, 350, 19.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108010360,8.2,26042,https://book.douban.com/subject/1015699/
邓小平时代 ,[美] 傅高义, 生活·读书·新知三联书店,冯克利, 2013-1, 754, 88.00元,,, 9787108041531,9.2,36567,https://book.douban.com/subject/20424526/
袁氏当国 ,唐德刚, 广西师范大学出版社,, 2004-11, 209, 17.00,唐德刚作品集,https://book.douban.com/series/1985, 9787563350032,8.5,7516,https://book.douban.com/subject/1000280/
史记（全十册） ,司马迁                   /                        张守节, 中华书局,（索隐）司马贞，（正义）张守节, 1982-11, 3356, 125.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003048,9.5,19197,https://book.douban.com/subject/1077847/
旧制度与大革命 ,[法国]            托克维尔, 商务印书馆,冯棠, 1992-08, 316, 12.80元,汉译世界学术名著丛书·历史地理,https://book.douban.com/series/25, 9787100022040,8.9,9371,https://book.douban.com/subject/1032063/
汉书（全十二册） ,班固, 中华书局,颜师古 注释, 1962-6-1, 4273, 177.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003055,9.4,1419,https://book.douban.com/subject/1029723/
春秋左传注（全四册） : 春秋左传注,杨伯峻, 中华书局,, 2009-10, 1736, 178.00元,中國古典名著譯注叢書,https://book.douban.com/series/1124, 9787101070743,9.6,1266,https://book.douban.com/subject/4146127/
史记（点校本二十四史修订本） ,司马迁 著                   /                裴骃 集解                   /                司马贞 索隐                   /                张守节 正义, 中华书局,点校本《史记》修订组, 2013-8, 4196, 590.00元,点校本二十四史修订本（精装）,https://book.douban.com/series/20606, 9787101095012,9.6,490,https://book.douban.com/subject/25660928/
后汉书（全十二册） ,[宋] 范晔 撰                   /                [唐] 李贤 等注, 中华书局,, 2000-05, 3684, 198.00元,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003062,9.2,862,https://book.douban.com/subject/1041622/
三国志（全五册） ,裴松之 注          /                    陈寿, 中华书局,, 2011-10, 1510, 98.00元,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003079,9.3,4455,https://book.douban.com/subject/1014763/
隋书（全六册） ,魏徵, 中华书局,, 1997-9-1, 1904, 73.00元,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003161,9.2,350,https://book.douban.com/subject/1062355/
点校本二十四史 ,司马迁等, 中华书局,, 2011-6, 77100, 7900.00元,,, 9787101079869,9.8,65,https://book.douban.com/subject/6731120/
隋唐史 ,岑仲勉, 商务印书馆,, 2015-7, 644, 58.00,中华现代学术名著丛书,https://book.douban.com/series/6985, 9787100085410,8.4,103,https://book.douban.com/subject/26594219/
隋唐帝国形成史论 ,谷川道雄, 上海古籍出版社,李济沧, 2011-6-1, 362, 58.00元,日本中国史研究译丛,https://book.douban.com/series/4086, 9787532558995,8.7,410,https://book.douban.com/subject/6510253/
拓跋史探（修订本） ,田余庆, 生活·读书·新知三联书店,, 2011-11, 279, 46.00,三联文史新论,https://book.douban.com/series/12302, 9787108036827,8.9,291,https://book.douban.com/subject/6969055/
金明館叢稿初編 ,陈寅恪, 生活·读书·新知三联书店,, 2015-7-1, 413, CNY 80.00,陳寅恪集（三联2015版）,https://book.douban.com/series/31093, 9787108054012,9.7,166,https://book.douban.com/subject/26427682/
白话本国史 ,吕思勉, 上海古籍出版社,, 2005-07, 784, 58.00元,吕思勉文集,https://book.douban.com/series/864, 9787532540105,8.9,756,https://book.douban.com/subject/1427450/
秦汉史 ,吕思勉, 上海古籍出版社,, 2005-07-01, 752, 55.00元,吕思勉文集,https://book.douban.com/series/864, 9787532540273,8.9,564,https://book.douban.com/subject/1427476/
两晋南北朝史（上下） ,吕思勉, 上海古籍出版社,有2012年5月7印本, 2005-11, 1374, 98.00元,吕思勉文集,https://book.douban.com/series/864, 9787532540686,9.2,751,https://book.douban.com/subject/1446867/
先秦史 : 呂思勉文集,吕思勉, 上海古籍出版社,, 2005-07, 445, 32.00元,吕思勉文集,https://book.douban.com/series/864, 9787532540297,8.8,473,https://book.douban.com/subject/1427558/
吕思勉读史札记 ,吕思勉, 上海古籍出版社,, 2005-12-1, 1443, 98.00元,吕思勉文集,https://book.douban.com/series/864, 9787532542130,9.1,305,https://book.douban.com/subject/1480858/
隋唐五代史（上下） ,吕思勉, 上海古籍出版社,, 2005-11-1, 1180, 88.00元,吕思勉文集,https://book.douban.com/series/864, 9787532540266,8.9,347,https://book.douban.com/subject/1446869/
中国社会史 ,吕思勉, 上海古籍出版社,, 2007-11, 623, 45.00元,吕思勉文集,https://book.douban.com/series/864, 9787532547715,9.0,169,https://book.douban.com/subject/2336279/
三国史话 ,吕思勉, 中华书局,, 2009-6-8, 209, 16.00元,跟大师学国学,https://book.douban.com/series/1071, 9787101066890,8.5,2624,https://book.douban.com/subject/3787085/
中国近代史八种 ,吕思勉, 上海古籍出版社,, 2008-8, 504, 38.00元,吕思勉文集,https://book.douban.com/series/864, 9787532548934,8.2,59,https://book.douban.com/subject/3196521/
魏晋南北朝史札记 ,周一良, 中华书局,, 1985-3-1, 494, 34.00元,现代史学家文丛,https://book.douban.com/series/1998, 9787101057737,9.1,448,https://book.douban.com/subject/2255277/
金明馆丛稿初编 ,陈寅恪 著                   /                陈美延 编, 生活·读书·新知三联书店,, 2001-6, 412, 43.00元,陳寅恪集（三联2001版）,https://book.douban.com/series/758, 9787108009395,9.7,505,https://book.douban.com/subject/1010189/
六朝贵族制社会研究 ,川胜义雄, 上海古籍出版社,"徐谷梵,李济沧", 2008-01, 328, 49.00元,日本中国史研究译丛,https://book.douban.com/series/4086, 9787532548378,9.1,434,https://book.douban.com/subject/2382863/
戊戌变法史事考 ,茅海建, 生活·读书·新知三联书店,, 2005-01-01, 571, 37.00元,三联文史新论,https://book.douban.com/series/12302, 9787108021953,8.7,691,https://book.douban.com/subject/1289247/
从甲午到戊戌 : 康有为《我史》鉴注,茅海建, 生活·读书·新知三联书店,, 2009-5-1, 918, 83.0,三联文史新论,https://book.douban.com/series/12302, 9787108031310,9.1,334,https://book.douban.com/subject/3665980/
苦命天子 : 咸丰皇帝奕詝,茅海建, 生活·读书·新知三联书店,, 2006-4, 314, 24.00元,文史悦读,https://book.douban.com/series/12783, 9787108023988,8.3,1355,https://book.douban.com/subject/1801407/
近代的尺度 : 两次鸦片战争军事与外交,茅海建, 生活·读书·新知三联书店,, 2011-1, 378, 38.00元,三联文史新论,https://book.douban.com/series/12302, 9787108035752,8.3,316,https://book.douban.com/subject/5914500/
近代中国社会的新陈代谢 ,陈旭麓, 上海社会科学院出版社,, 2006-1, 428, 42.00元,经典大学人文社科读本,https://book.douban.com/series/1144, 9787806817919,8.9,1736,https://book.douban.com/subject/1491537/
中国史学名著 ,钱穆, 九州出版社,, 2011-7, 376, 49.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510810015,9.2,113,https://book.douban.com/subject/6981806/
中国思想通俗讲话 ,钱穆, 九州出版社,, 2011-5, 126, 24.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807510,9.3,42,https://book.douban.com/subject/6717825/
朱子新学案 ,钱穆, 九州出版社,, 2011-1, 2400, 398.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807008,9.3,70,https://book.douban.com/subject/6094260/
王阳明全集（全三册） : 简体横排,王守仁, 上海古籍出版社,, 2012-12, 1351, 178.00元,,, 9787532556373,9.4,68,https://book.douban.com/subject/20491911/
施特劳斯与流亡政治学 : 一个政治哲人的锻成,[美] 谢帕德, 华夏出版社,高山奎, 2013-9-1, 255页, 39.00元,西方传统：经典与解释·施特劳斯集,https://book.douban.com/series/5864, 9787508077376,8.0,32,https://book.douban.com/subject/25729117/
经史百家杂钞今注 ,曾国藩 编                   /                        熊宪光 蓝锡麟 等注, 上海书店出版社,, 2015-6, 847, 150.00元,,, 9787545810523,8.8,25,https://book.douban.com/subject/26418908/
中國文化叢談 ,钱穆, 九州出版社,, 2011-7, 402, 58.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510810077,8.0,23,https://book.douban.com/subject/7064589/
尚书引义 ,王夫之            / 校注                    王孝鱼, 中华书局,王孝鱼 注解, 2009-6, 180页, 19.00元,王夫之著作,https://book.douban.com/series/1563, 9787101066265,9.1,27,https://book.douban.com/subject/3792698/
