title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
经济分析史（第一卷） ,[美国]            约瑟夫·熊彼特, 商务印书馆,"朱泱,孙鸿敬,李宏", 1996-8, 571, 21.20元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100022095,9.1,333,https://book.douban.com/subject/1074178/
资本主义、社会主义与民主 ,(美)约瑟夫·熊彼特, 商务印书馆,吴良健, 1999-02, 580, 28.00,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100027144,8.4,662,https://book.douban.com/subject/1038949/
从马克思到凯恩斯 ,[美] 熊彼特（J.A.Schumpeter）, 江苏人民出版社,韩宏等, 2003-11-1, 274, 17.00元,,, 9787214024602,8.3,94,https://book.douban.com/subject/1037572/
经济思想的成长 ,[美] 亨利·威廉·斯皮格尔, 中国社会科学出版社,晏智杰 等, 1999-10, 883, 78.00元,当代经济学教科书译丛,https://book.douban.com/series/29107, 9787500424567,8.9,84,https://book.douban.com/subject/1436855/
经济史上的结构和变革 ,[美] 道格拉斯·诺斯, 商务印书馆,厉以平, 1992-10, 250, 19.00元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100028615,8.6,305,https://book.douban.com/subject/1510737/
经济发展理论 ,(美)熊彼特, 商务印书馆,"何畏,易家详", 1990-1, 306, 4.80元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100011174,8.2,296,https://book.douban.com/subject/2137823/
国民财富的性质和原因的研究（上卷） ,[英国]            亚当·斯密, 商务印书馆,"郭大力,王亚南", 1972-12, 383, 25.00元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100005005,9.2,765,https://book.douban.com/subject/1109350/
美国货币史 1867—1960 ,[美]            安娜·J·施瓦茨          /                        [美]            米尔顿·弗里德曼, 北京大学出版社,"巴曙松,王劲松 等", 2009-1, 681, 78.00元,,, 9787301147498,8.8,735,https://book.douban.com/subject/3427304/
亚当·斯密关于法律、警察、岁入及军备的演讲 ,[英] 坎南 编著, 商务印书馆,"陈福生,陈振骅", 1962-12, 285, 18.00,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100011815,8.7,59,https://book.douban.com/subject/1512080/
经济学方法论探究 ,卡尔·门格尔, 新星出版社,姚中秋, 2007-8, 330, 32.00元,奥地利学派译丛,https://book.douban.com/series/45774, 9787802253155,8.7,131,https://book.douban.com/subject/2155336/
人类交换规律与人类行为准则的发展 ,赫尔曼﹒海因里希﹒戈森, 商务印书馆,陈秀山 译, 2000-12-01, 0, 21.00元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100030977,8.7,31,https://book.douban.com/subject/1546442/
经济分析史（第一卷） ,[美国]            约瑟夫·熊彼特, 商务印书馆,"朱泱,孙鸿敬,李宏", 1996-8, 571, 21.20元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100022095,9.1,333,https://book.douban.com/subject/1074178/
同意的计算 : 立宪民主的逻辑基础,(美)布坎南                   /                (美)塔洛克, 中国社会科学出版社,陈光金, 2000-1, 384, 23.00元,国外经济学名著译丛,https://book.douban.com/series/21843, 9787500428459,8.2,152,https://book.douban.com/subject/1550973/
社会主义 : 经济与社会学的分析,[奥地利]            路德维希·冯·米瑟斯, 中国社会科学出版社,"王建民,冯克利,崔树义", 2008-05-01, 514, 45.00元,西方现代思想丛书,https://book.douban.com/series/298, 9787500469261,8.9,489,https://book.douban.com/subject/3260366/
集体行动的逻辑 ,曼瑟尔·奥尔森, 生活·读书·新知三联书店 上海人民出版社,"陈郁,郭宇峰,李崇新", 1995-4, 225, 18.00元,当代经济学系列丛书,https://book.douban.com/series/181, 9787208019713,8.4,1726,https://book.douban.com/subject/1196945/
宪政经济学 : 西方现代思想丛书14,布坎南, 中国社会科学出版社,"冯克利,秋风,王代,魏志梅", 2004, 189, 38.0,西方现代思想丛书,https://book.douban.com/series/298, 9787500442622,8.2,109,https://book.douban.com/subject/1169318/
权力与繁荣 ,（美）曼瑟・奥尔森, 上海人民出版社,"苏长和,嵇飞", 2005-4, 162, 22.00,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290, 9787208054653,8.7,693,https://book.douban.com/subject/1315182/
民主和专制的社会起源 : 现代社会形成中的地主与农民,巴林顿·摩尔, 华夏出版社,拓夫, 1988, 412, 3.25,二十世纪文库,https://book.douban.com/series/773, 9787800530425,8.2,322,https://book.douban.com/subject/1898651/
民主转型与巩固的问题 : 南欧、南美和后共产主义的欧洲,胡安·J·林茨                   /                        阿尔弗莱德·斯泰潘, 浙江人民出版社,孙龙, 2008-1, 518, 54.00元,政治与社会译丛,https://book.douban.com/series/9547, 9787213035678,8.9,308,https://book.douban.com/subject/2972538/
官僚体制·反资本主义的心态 ,[奥地利]            路德维希·冯·米塞斯, 新星出版社,"冯克利,姚中秋", 2007-8, 194, 23.00元,奥地利学派译丛,https://book.douban.com/series/45774, 9787802253186,9.0,587,https://book.douban.com/subject/2155341/
经济分析史（第二卷） ,[美国]            约瑟夫·熊彼特, 商务印书馆,杨敬年, 2001-11, 573, 30.00元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100022101,9.2,152,https://book.douban.com/subject/1053707/
奥地利学派经济学在美国 : 一个传统的迁入,[美] 卡伦·沃恩, 浙江大学出版社,"朱全红,彭永春,宋正刚,王军", 2008-10, 237, 28.00元,奥地利学派译丛,https://book.douban.com/series/167, 9787308058612,7.8,107,https://book.douban.com/subject/3266533/
开门 : 创新理论大师熊彼特,[美] 洛林·艾伦, 吉林人民出版社,马春文 等, 2003-4, 667, 35.00元,世界经济经典书系,https://book.douban.com/series/9718, 9787206041785,8.3,50,https://book.douban.com/subject/1112473/
公共物品的需求与供给 ,詹姆斯·M.布坎南, 上海人民出版社,马珺, 2009-4, 194, 25.00元,现代政治经济学前沿译丛,https://book.douban.com/series/2067, 9787208081000,8.5,35,https://book.douban.com/subject/3679794/
经济学 : 新兴古典与新古典框架,杨小凯, 社会科学文献出版社,, 2003-12-1, 601, 78.00元,杨小凯作品集,https://book.douban.com/series/35968, 9787801900661,8.7,94,https://book.douban.com/subject/1137749/
社会权力的来源（第二卷） ,[英]迈克尔·曼, 上海人民出版社,陈海宏 等译, 2007-03, 899, 76.00,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290, 9787208067769,7.9,95,https://book.douban.com/subject/2057262/
货币、信用与商业 ,马歇尔, 商务印书馆,"叶元龙,郭家麟", 1997-2, 372, 14.70元,汉译世界学术名著丛书·经济,https://book.douban.com/series/26, 9787100017572,8.2,67,https://book.douban.com/subject/1070891/
经济学是如何忘记历史的 : 社会科学中的历史特性问题,杰弗里·M·霍奇逊, 中国人民大学出版社,, 2008-01-18, 504, 59.00元,当代世界学术名著·经济学系列,https://book.douban.com/series/5004, 9787300086941,8.8,103,https://book.douban.com/subject/3000263/
经济理论和方法史（第四版） ,小罗伯特.B.埃克伦德, 中国人民大学出版社,, 2001-1, 519, 56.00元,经济科学译丛,https://book.douban.com/series/2942, 9787300035857,8.2,45,https://book.douban.com/subject/1093463/
守规的代理人 : 良政的政治经济学,蒂莫西·贝斯利, 上海人民出版社,李明, 2009-4, 302, 35.00元,现代政治经济学前沿译丛,https://book.douban.com/series/2067, 9787208084391,7.9,14,https://book.douban.com/subject/3755084/
微观经济学（上下） : 当代经济学教科书译丛,[美]安德鲁·马斯一科莱尔, 中国社会科学,, 2001年3月, 1434, 110,当代经济学教科书译丛,https://book.douban.com/series/29107, 9787500429654,9.1,60,https://book.douban.com/subject/1516802/
