title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
论意识操纵（上下） ,卡拉-穆尔扎  编, 社会科学文献出版社,徐昌翰, 2004-1,1007, 66.00元,世界社会主义研究丛书·参考系列,https://book.douban.com/series/12127,9.7878E+12,9,216,https://book.douban.com/subject/1266211/
经济学是如何忘记历史的 : 社会科学中的历史特性问题,杰弗里·M·霍奇逊, 中国人民大学出版社,, 2008-01-18,504, 59.00元,当代世界学术名著·经济学系列,https://book.douban.com/series/5004,9.7873E+12,8.8,103,https://book.douban.com/subject/3000263/
谁统治美国？ : 权力、政治和社会变迁,[美国] 威廉·多姆霍夫, 译林出版社,"吕鹏,闻翔", 2009-6,440,35,人文与社会译丛,https://book.douban.com/series/13,9.78754E+12,8.4,199,https://book.douban.com/subject/3792643/
意识形态起源和影响 ,[美]            利昂·P·巴拉达特, 世界图书出版公司,"张慧芝,张露璐", 2010-4,337, 42.00元,后浪大学堂,https://book.douban.com/series/615,9.78751E+12,8.7,1367,https://book.douban.com/subject/4285631/
富国的伪善 : 自由贸易的迷思与资本主义秘史,[英] 张夏准, 社会科学文献出版社,严荣, 2009-1,221, 39.00元,世界社会主义研究丛书·参考系列,https://book.douban.com/series/12127,9.78751E+12,8.6,176,https://book.douban.com/subject/3528045/
俄罗斯社会的潜规则 : 后苏联时代政治与商业领域中的寻租行为,（英）莱德尼娃, 吉林出版集团有限责任公司,王学东, 2009-11,289, 34.00元,当代西方学术文库·比较政治经济学书系,https://book.douban.com/series/6900,9.78755E+12,8.2,66,https://book.douban.com/subject/4117965/
狂热分子 : 群众运动圣经,[美国]            埃里克·霍弗, 广西师范大学出版社,梁永安, 2011-6,207, 34.00元,理想国 人文精选,https://book.douban.com/series/9757,9.78756E+12,8.9,11732,https://book.douban.com/subject/3057556/
社会主义体制 : 共产主义政治经济学,[匈牙利]雅诺什·科尔奈, 中央编译出版社,, 2007-5,588, 68.00元,苏东回顾系列图书,https://book.douban.com/series/41443,9.7878E+12,8.8,300,https://book.douban.com/subject/2078097/
食利者政治经济学 : 奥地利学派的价值和利润理论,[苏联]            布哈林, 商务印书馆,郭连成, 2002-1,195, 11.00元,,,9.7871E+12,8.5,60,https://book.douban.com/subject/1151129/
欧洲社会主义百年史（上下） ,[英]唐纳德·萨松, 社会科学文献出版社,, 2008-01,1016, 138.00元,世界社会主义研究丛书·参考系列,https://book.douban.com/series/12127,9.7878E+12,8.8,95,https://book.douban.com/subject/2382373/
政治思考 : 一些永久性的问题,[美国]            格伦·廷德, 世界图书出版公司北京公司,王宁坤, 2010-9,273, 29.80元,,,9.78751E+12,9,440,https://book.douban.com/subject/4857097/
资本主义经济学批评史 ,[美] 道格拉斯·多德, 江苏人民出版社,"熊婴,陶李", 2008-12,384, 29.00元,汉译精品·政治经济,https://book.douban.com/series/9808,9.78721E+12,8,34,https://book.douban.com/subject/3277480/
大裂变 : 中世纪贸易制度比较和西方的兴起,阿夫纳·格雷夫, 中信出版社,郑江淮 等, 2008-8,368, 55.00元,,,9.78751E+12,8.7,135,https://book.douban.com/subject/3184472/
现代经济学主要流派 : 1870年以来的经济思想,本·塞利格曼, 华夏出版社,贾拥民, 2010-4,830, 98.00元,当代西方经济学经典译丛,https://book.douban.com/series/12938,9.78751E+12,9.2,48,https://book.douban.com/subject/4862752/
经济思想史 : 一种批判性的视角,E.K.亨特, 上海财经大学出版社,颜鹏飞, 2007-3,455, 52.00元,,,9.78781E+12,8.3,41,https://book.douban.com/subject/2059518/
经济落后的历史透视：论文集 ,[美] 亚历山大·格申克龙, 商务印书馆,, 2009-3,601, 37.00元,,,9.7871E+12,8.7,37,https://book.douban.com/subject/3629761/
资本主义的诞生 : 对古典政治经济学的一种诠释,（英）迈克尔・佩罗曼, 广西师范大学出版社,裴达鹰, 2001-09,472,26.8,雅典娜思想译丛,https://book.douban.com/series/7498,9.78756E+12,8.8,20,https://book.douban.com/subject/1035129/
后社会主义转轨的思索 ,雅诺什·科尔奈, 吉林人民出版社,肖梦, 2011-1-1,247, 30.00元,人文译丛（2011）,https://book.douban.com/series/14056,9.78721E+12,8.3,17,https://book.douban.com/subject/5406371/
