title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
中国的宗教系统及其古代形式、变迁、历史及现状 ,[荷]高延, 花城出版社,芮传明等, 2018-3, 1905, 588.00元,,, 9787536085916,9.0,37,https://book.douban.com/subject/30128170/
萨满教 : 古老的入迷术,[美]米尔恰·伊利亚德 (Mircea Eliade), 社会科学文献出版社,段满福, 2018-8, 609, 128.00,内蒙古民族文化通鉴·翻译系列,https://book.douban.com/series/44156, 9787520130004,,,https://book.douban.com/subject/30258605/
重读《资本论》 ,[美] 费雷德里克·詹姆逊, 中国人民大学出版社,"胡志国,陈清贵", 2015-6, 289,,马克思主义研究论库·第一辑,https://book.douban.com/series/21759, 9787300211626,,,https://book.douban.com/subject/26372336/
古代中国的节日 : 汉代(公元前206-公元220年)的新年和其他年庆活动,(美) 德克·卜德 (Derk Bodde), 学苑出版社,, 2017-6,, 65.00,,, 9787507752601,,,https://book.douban.com/subject/27084082/
古代中国与皇帝祭祀 ,[日] 金子修一, 复旦大学出版社,"肖聖中,吳思思,王曹傑", 2017-7-1, 252, CNY 45.00,日本学者古代中国研究丛刊,https://book.douban.com/series/34408, 9787309130317,8.1,90,https://book.douban.com/subject/27078752/
中国人的宗教信仰 ,(法) 葛兰言, 贵州人民出版社,程门, 2010-4, 166, 20.00元,原道文丛,https://book.douban.com/series/2574, 9787221088833,7.7,48,https://book.douban.com/subject/4317992/
中古中国的荫护与社群 : 公元400—600年的襄阳城,(美) 戚安道, 南京大学出版社,毕云, 2021-1, 220, 60.00元,南京大学六朝研究所书系,https://book.douban.com/series/54874,,,,https://book.douban.com/subject/35188497/
中国历史上的白莲教 ,田海, 商务印书馆,"刘平,王蕊", 2017-11, 368, 66.00,中国秘密社会研究译丛,https://book.douban.com/series/3186, 9787100140041,8.7,127,https://book.douban.com/subject/27067748/
中国民间宗教史(上下) ,韩秉方                   /                        马西沙, 中国社会科学出版社,, 2004-08, 1085, 89.00,社科学术文库,https://book.douban.com/series/2688, 9787500444404,8.3,71,https://book.douban.com/subject/1012274/
变迁之神 : 南宋时期的民间信仰,[美]韩森, 中西书局,, 2016-7, 213, 35.00元,中西学术文丛,https://book.douban.com/series/18526, 9787547510315,7.6,172,https://book.douban.com/subject/26826817/
宋代民众祠神信仰研究 ,皮庆生, 上海古籍出版社,, 2008-10, 408, 48.00元,复旦文史丛刊,https://book.douban.com/series/2531, 9787532550470,7.6,67,https://book.douban.com/subject/3272221/
制造儒家 : 中国诸传统与普世文明,[美] 詹启华 (Lionel M. Jensen), 北京大学出版社,, 2019-1, 536, 89.00元,德先声,https://book.douban.com/series/43406, 9787301302293,7.7,18,https://book.douban.com/subject/30422570/
论祈祷 : 探究人类的秘仪和心灵秘界,【法】马歇尔·莫斯, 北京大学出版社,蒙养山人, 2013-6, 180, 29.00,沙发图书馆·星经典,https://book.douban.com/series/12476, 9787301223246,7.1,27,https://book.douban.com/subject/25663422/
中国的宗教系统及其古代形式、变迁、历史及现状 ,[荷]高延, 花城出版社,芮传明等, 2018-3, 1905, 588.00元,,, 9787536085916,9.0,37,https://book.douban.com/subject/30128170/
宗教改革 : 现代世界的黎明，1450-1650年,[美]卡洛斯·艾尔 (Carlos M. N. Eire), 社会科学文献出版社,林国荣,, 920, 158.00,甲骨文丛书,https://book.douban.com/series/23971, 9787520118736,,,https://book.douban.com/subject/27205404/
政治社会的世系 : 后殖民民主研究,[印度] 帕沙·查特吉（Partha Chatterjee）, 西北大学出版社,"王行坤,王原", 2017-2-1, 376, 76.00,精神译丛,https://book.douban.com/series/26888, 9787560440071,8.9,15,https://book.douban.com/subject/26981877/
