title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
实践感 ,[法国]            皮埃尔·布迪厄, 译林出版社,蒋梓骅, 2012-6,416, 52.00元,人文与社会译丛,https://book.douban.com/series/13,9.78754E+12,9.1,146,https://book.douban.com/subject/10875961/
反思社会学导引 ,[法] 布尔迪厄                   /                [美] 华康德, 商务印书馆,"李猛,李康", 2015-12,496,39,社会学名著译丛,https://book.douban.com/series/8686,9.7871E+12,9.6,277,https://book.douban.com/subject/26647780/
单身者舞会 : 法国思想家译丛,（法）皮埃尔·布迪厄, 上海译文出版社,姜志辉, 2009-01-01,240,22,法国思想家译丛,https://book.douban.com/series/441,9.78753E+12,7.4,182,https://book.douban.com/subject/3389457/
区分 : 判断力的社会批判,[法] 皮埃尔·布尔迪厄, 商务印书馆,刘晖, 2015-10,943,80,当代法国思想文化译丛,https://book.douban.com/series/170,9.7871E+12,7.8,620,https://book.douban.com/subject/26354330/
权力的文化逻辑 : 布迪厄的社会学诗学,朱国华, 上海人民出版社,, 2017-1,468, 85.00元,上海市学术著作出版基金,https://book.douban.com/series/24734,9.78721E+12,9.4,104,https://book.douban.com/subject/26670596/
社会的构成 : 结构化理论纲要,[英国]            安东尼·吉登斯, 中国人民大学出版社,"李康,李猛", 2016-5-1,464, CNY 78.00,当代世界学术名著·政治学系列,https://book.douban.com/series/12704,9.7873E+12,9.2,209,https://book.douban.com/subject/26800172/
经济生活中的社会学 ,[美] 马克•格兰诺维特、[瑞典] 理查德•斯威德伯格, 世纪文景/上海人民出版社,"瞿铁鹏 姜志辉 译,瞿铁鹏 校", 2014-7-1,591, 98.00元,,,9.78721E+12,8.5,45,https://book.douban.com/subject/25924340/
二十世纪以来的社会理论 ,[英]帕特里克·贝尔特                   /                [葡]菲利佩·卡雷拉·达·席尔瓦, 商务印书馆,瞿铁鹏, 2014-7,405,36,,,9.7871E+12,8.7,165,https://book.douban.com/subject/25902442/
社会世界的意义建构 : 理解的社会学引论,[奥] 阿尔弗雷德·许茨, 北京师范大学出版社,霍桂桓, 2017-8-1,423,,许茨作品系列,https://book.douban.com/series/39343,9.7873E+12,8.6,16,https://book.douban.com/subject/27117446/
自我分析纲要 ,[法] 皮埃尔·布尔迪厄, 中国人民大学出版社,刘晖, 2017-1-15,,,布尔迪厄作品,https://book.douban.com/series/36450,9.7873E+12,8.3,283,https://book.douban.com/subject/26943380/
宗教生活的基本形式 ,【法】爱弥尔·涂尔干, 商务印书馆,"渠东,汲喆", 2011-4-1,634, 46.00元,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27,9.7871E+12,9.3,455,https://book.douban.com/subject/6431983/
实践感 ,[法国]            皮埃尔·布迪厄, 译林出版社,蒋梓骅, 2012-6,416, 52.00元,人文与社会译丛,https://book.douban.com/series/13,9.78754E+12,9.1,146,https://book.douban.com/subject/10875961/
现实的社会建构 : 知识社会学论纲,[美] 彼得·伯格                   /                        [美] 托马斯·卢克曼, 北京大学出版社,吴肃然, 2019-3,284, 38.00元,未名社科·大学经典,https://book.douban.com/series/22760,9.7873E+12,9.4,996,https://book.douban.com/subject/30421672/
社会学家与历史学家 : 布尔迪厄与夏蒂埃对话录,【法】皮埃尔•布尔迪厄                   /                【法】罗杰•夏蒂埃, 北京大学出版社,马胜利, 2012-2-1,114, 15.00元,历史学的实践丛书,https://book.douban.com/series/226,9.7873E+12,8.4,344,https://book.douban.com/subject/10355113/
发现社会 : 西方社会学思想述评,[美]兰德尔·柯林斯                   /                        [美]迈克尔·马科夫斯基, 商务印书馆,李霞, 2014-5,481,39,,,9.7871E+12,9.5,1191,https://book.douban.com/subject/25924609/
社会学的想象力 ,[美] C.赖特·米尔斯, 生活·读书·新知三联书店,"李康,李钧鹏", 2017-3-2,370, 48.00元,米尔斯文集,https://book.douban.com/series/37782,9.7873E+12,9.1,3144,https://book.douban.com/subject/26874446/
历史学与社会理论（第2版） ,[英] 彼得·伯克, 上海人民出版社,李康, 2019-11,381, 52.00元,思想剧场,https://book.douban.com/series/42977,9.78721E+12,9.4,625,https://book.douban.com/subject/34842935/
帕斯卡尔式的沉思 ,[法国]            皮埃尔·布迪厄, 生活·读书·新知三联书店,刘晖, 2009-12,349,30,学术前沿,https://book.douban.com/series/1015,9.78711E+12,7.8,96,https://book.douban.com/subject/4071845/
实践理性：关于行为理论 : 法兰西思想文化丛书,[法国]            皮埃尔·布迪厄, 三联书店,谭立德, 2007-12,220,19.8,法兰西思想文化丛书,https://book.douban.com/series/524,9.78711E+12,7.5,94,https://book.douban.com/subject/2361246/
再生产 : 一种教育系统理论的要点,（法）布尔迪约等, 商务印书馆,邢克超, 2002-12,247, 17.00元,当代法国思想文化译丛,https://book.douban.com/series/170,9.7871E+12,8.2,167,https://book.douban.com/subject/1014877/
现代性社会学 : 二十世纪的历程,[法国]达尼洛•马尔图切利, 译林出版社,姜志辉, 2007-7,455, 32.00元,人文与社会译丛,https://book.douban.com/series/13,9.78754E+12,6.3,33,https://book.douban.com/subject/2160065/
实践与反思 : 反思社会学导引,(法)皮埃乐.布迪厄                   /                华康德, 中央编译出版社,"李猛,李康", 1998-01-01,478,26.8,新世纪学术译丛,https://book.douban.com/series/9922,9.7878E+12,9.1,360,https://book.douban.com/subject/1054762/
当代欧洲社会理论指南 ,[英]吉拉德·德朗蒂, 北京世纪文景 上海人民出版社,李康, 2009-11,536, 72.00元,,,9.78721E+12,7.6,50,https://book.douban.com/subject/4011307/
科学之科学与反观性 : 法兰西学院专题讲座(2000-2001学年),[法国]            皮埃尔·布迪厄, 广西师范大学出版社,, 2006-4,216, 16.00元,,,9.78756E+12,7.2,35,https://book.douban.com/subject/1792626/
帕森斯学术思想评传 ,[德]格哈特, 北京大学出版社,李康, 2009-10-1,386, 32.00元,未名传记图书馆·社会学名家思想评传,https://book.douban.com/series/21136,9.7873E+12,7.9,45,https://book.douban.com/subject/4077917/
創造歷史 : 社會理論中的行動、結構與變遷,艾力克斯·柯林尼可斯（Alex Callinicos ）, 群學出版有限公司,"國立編譯館,萬毓澤", 2007-09,464, 450 TWD,,,9.78987E+12,,,https://book.douban.com/subject/3129971/
文化与权力 : 布尔迪厄的社会学,(美)戴维·斯沃茨, 上海译文出版社,陶东风, 2006-5,354,38,当代学术思潮译丛,https://book.douban.com/series/295,9.78753E+12,8.3,372,https://book.douban.com/subject/1787092/
言语意味着什么 : 语言交换的经济,[法国]            皮埃尔·布迪厄, 商务印书馆,"褚思真,刘晖", 2005-06-01, 220 页,13,当代法国思想文化译丛,https://book.douban.com/series/170,9.7871E+12,8.4,67,https://book.douban.com/subject/1434524/
继承人 : 大学生与文化,（法）布尔迪约等, 商务印书馆,邢克超, 2002-11,150, 11.00元,当代法国思想文化译丛,https://book.douban.com/series/170,9.7871E+12,8.7,653,https://book.douban.com/subject/1015941/
男性统治 ,[法国]            皮埃尔·布迪厄, 中国人民大学出版社,刘晖, 2017-1,228,38,布尔迪厄作品,https://book.douban.com/series/36450,9.7873E+12,8,343,https://book.douban.com/subject/26921060/
艺术的法则 : 文学场的生成与结构,[法国]            皮埃尔·布迪厄, 中央编译出版社,刘晖, 2011-12,351, 68.00元,后现代书系,https://book.douban.com/series/14187,9.78751E+12,7.4,151,https://book.douban.com/subject/10557484/
所述之言 : 布赫迪厄反思社會學文集,皮耶．布赫迪厄(Pierre Bourdieu), 麥田,陳逸淳, 2012-6,376, NT450,,,9.78986E+12,8.9,24,https://book.douban.com/subject/10772212/
布迪厄：关键概念（原书第2版） ,[英] 迈克尔·格伦菲尔, 拜德雅 | 重庆大学出版社,林云柯, 2018-8,408, 59.00元,思想家和思想导读丛书,https://book.douban.com/series/24603,9.78757E+12,8.5,145,https://book.douban.com/subject/30252203/
国家精英 : 名牌大学与群体精神,[法] 皮埃尔·布迪厄, 商务印书馆,杨亚平, 2018-7,716,72,当代法国思想文化译丛,https://book.douban.com/series/170,9.7871E+12,9.1,150,https://book.douban.com/subject/30141437/
历史的逻辑 : 社会理论与社会转型,小威廉·休厄尔, 上海人民出版社,"朱联璧,费滢", 2013-1,350, 58.00元,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290,9.78721E+12,8.6,128,https://book.douban.com/subject/20492357/
社会行动的结构 ,[美国] 塔尔科特·帕森斯, 译林出版社,"张明德,夏遇南,彭刚", 2012-8,888, 80.00元,人文与社会译丛,https://book.douban.com/series/13,9.78754E+12,8.4,69,https://book.douban.com/subject/19974669/
古典社会学理论 ,乔治·瑞泽尔 (George Ritzer), 世界图书出版公司北京公司,王建民, 2014-11-1,570, CNY 88.00,后浪大学堂,https://book.douban.com/series/615,9.78751E+12,9.1,226,https://book.douban.com/subject/25981074/
缺席与断裂 : 有关失范的社会学研究,渠敬东, 商务印书馆,, 2017-5,317,55,中华当代学术著作辑要,https://book.douban.com/series/34359,9.7871E+12,8.5,48,https://book.douban.com/subject/26958425/
经济社会学手册 ,（美）斯梅尔瑟                   /                （瑞典）斯威德伯格, 华夏出版社,"罗教讲,张永宏等", 2009-1,830, 98.00元,社会学教材经典译丛,https://book.douban.com/series/2126,9.78751E+12,7.9,45,https://book.douban.com/subject/3518160/
镶嵌：社会网与经济行动（增订版） ,马克·格兰诺维特(Mark Granovetter), 社会科学文献出版社,罗家德, 2015-10,252, 49.00元,新社会学文丛,https://book.douban.com/series/26527,9.78751E+12,8.5,97,https://book.douban.com/subject/26663254/
