title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
中国经济 : 适应与增长,[美]巴里·诺顿, 上海人民出版社,安佳, 2019-12-1,604, 158.00元,,,9.79E+12,9.9,61,https://book.douban.com/subject/34919491/
当代中国经济改革教程 ,吴敬琏, 上海远东出版社,, 2016-1,502, 78.00元,,,9.79E+12,9.6,184,https://book.douban.com/subject/26729910/
现代经济增长导论 ,[美] 达龙·阿西莫格鲁, 中信出版社,"唐志军,徐浩庆,谌莹", 2019-9-1,, 198.00元,,,9.79E+12,9.6,22,https://book.douban.com/subject/33398700/
筚路维艰 : 中国社会主义路径的五次选择,萧冬连, 社会科学文献出版社,, 2014-10-1,246, 45.00元,,,9.79E+12,9.6,1713,https://book.douban.com/subject/26171466/
社会与政治运动讲义（第二版） ,[美国]            赵鼎新, 社会科学文献出版社,, 2012-1,312, 45.00元,清华社会学讲义,https://book.douban.com/series/3143,9.79E+12,9.5,948,https://book.douban.com/subject/10456130/
跨越边界的社区（修订版） : 北京“浙江村”的生活史,项飙, 生活·读书·新知三联书店,, 2018-3,560, 68.00元,中国社会学经典文库,https://book.douban.com/series/39582,9.79E+12,9.5,4539,https://book.douban.com/subject/30116399/
英国进步主义思想 : 社会改革的兴起,[英]迈克尔·弗里登, 商务印书馆,"曾一璇 译,张新刚 校", 2018-5,416, 68.00元,倾向与可能丛书,https://book.douban.com/series/39598,9.79E+12,9.4,166,https://book.douban.com/subject/30177153/
微观经济理论 : 上下册,安德鲁·马斯-克莱尔                   /                        迈克尔·D·温斯顿                   /                        杰里·R·格林, 中国人民大学出版社,曹乾, 2014-11,968, 148.00元,经济科学译丛,https://book.douban.com/series/2942,9.79E+12,9.4,71,https://book.douban.com/subject/26271762/
大转型 : 我们时代的政治与经济起源,[英] 卡尔·波兰尼, 当代世界出版社,"冯钢,刘阳", 2020-1,325, 79.00元,雅理译丛,https://book.douban.com/series/31864,9.79E+12,9.4,151,https://book.douban.com/subject/34840593/
转型中的地方政府（第二版） : 官员激励与治理,周黎安, 上海世纪出版股份有限公司,, 2017-8,442, 78.00元,当代经济学系列丛书,https://book.douban.com/series/181,9.79E+12,9.3,984,https://book.douban.com/subject/27120243/
国民经济学原理 ,[奥地利]            卡尔·门格尔, 格致出版社,刘絜敖, 2013-8,211, 35.00元,世纪人文系列丛书·世纪文库,https://book.douban.com/series/287,9.79E+12,9.3,30,https://book.douban.com/subject/25742727/
China's Economy : What Everyone Needs to Know®,Arthur R. Kroeber, Oxford University Press,, 2016-4-1,336, USD 74.00,,,9.78E+12,9.3,106,https://book.douban.com/subject/26788218/
经济科学的最终基础 : 一篇关于方法的论文,路德维希·冯·米塞斯, 商务印书馆,朱泱, 2015-7-1,170,18,经济学名著译丛,https://book.douban.com/series/22339,9.79E+12,9.3,107,https://book.douban.com/subject/26602944/
变化社会中的政治秩序 ,（美）塞缪尔·P·亨廷顿, 上海人民出版社,"王冠华,刘为", 2008-7,387, 42.00元,东方编译所译丛,https://book.douban.com/series/4788,9.79E+12,9.3,2538,https://book.douban.com/subject/3163104/
大衰退年代 : 宏观经济学的另一半与全球化的宿命,辜朝明（Richard C.Koo）, 上海财经大学出版社,杨培雷, 2019-5,298,78,,,9.79E+12,9.2,299,https://book.douban.com/subject/33451663/
权力结构、政治激励和经济增长 : 基于浙江民营经济发展经验的政治经济学分析,章奇                   /                        刘明兴, 格致出版社 / 上海三联书店 / 上海人民出版社,, 2016-3,255,59,当代经济学系列丛书,https://book.douban.com/series/181,9.79E+12,9.2,828,https://book.douban.com/subject/26762440/
