title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
宋本册府元龟 1-4册 ,(宋)王钦若著, 中华书局,, 1989-1,,328,,,9.7871E+12,10,21,https://book.douban.com/subject/1920912/
般若至宝 ,亦邻真 著                   /                        乌云毕力格                   /                        乌兰 编, 上海古籍出版社,, 2019-12,536, 158元,欧亚古典学研究丛书,https://book.douban.com/series/38496,9.78753E+12,10,38,https://book.douban.com/subject/34796164/
唐五代韵书集存（上下） ,周祖谟, 中华书局,, 1983-7,1022, 218.00元,,,9.7871E+12,10,19,https://book.douban.com/subject/1420397/
满洲实录（共2册） ,辽宁省档案馆 编, 辽宁教育出版社,, 2012-1,994, 580.00元,,,9.78754E+12,9.8,18,https://book.douban.com/subject/10443302/
正史宋元版之研究 ,[日] 尾崎康, 中华书局,"乔秀岩,王铿 编译", 2018-3-1,725, 198.00元,,,9.7871E+12,9.8,87,https://book.douban.com/subject/27112545/
唐仆尚丞郎表 ,严耕望, 上海古籍,,2007.03,1140, 88.00元,嚴耕望史學著作集,https://book.douban.com/series/4618,9.78753E+12,9.8,47,https://book.douban.com/subject/2156251/
潜研堂集（上下） ,钱大昕            / 校注                    吕友仁 标             / 校注                    吕友仁, 上海古籍出版社,吕友仁 注解, 2009-08,1388, 98.00元,清代学者文集丛刊,https://book.douban.com/series/2568,9.78753E+12,9.8,37,https://book.douban.com/subject/3993583/
中国版刻图录 ,北京图书馆, 文物出版社,,1990,,,,,,9.8,62,https://book.douban.com/subject/3067859/
金明馆丛稿初编 ,陈寅恪 著                   /                陈美延 编, 生活·读书·新知三联书店,, 2001-6,412, 43.00元,陳寅恪集（三联2001版）,https://book.douban.com/series/758,9.78711E+12,9.7,505,https://book.douban.com/subject/1010189/
中国古代官名辞典 ,贺凯（Charles O. Hucker）, 北京大学出版社,, 2008-4,700, 150.00元,,,9.7873E+12,9.7,31,https://book.douban.com/subject/3076548/
金明館叢稿初編 ,陈寅恪, 生活·读书·新知三联书店,, 2015-7-1,413, CNY 80.00,陳寅恪集（三联2015版）,https://book.douban.com/series/31093,9.78711E+12,9.7,166,https://book.douban.com/subject/26427682/
四库提要辨证（全四册） ,余嘉锡, 中华书局,, 2008-01,1641, 120.00元,余嘉锡著作集,https://book.douban.com/series/2698,9.7871E+12,9.7,174,https://book.douban.com/subject/2377166/
